Feature,Importance
time_hours,0.14319710536029545
solvent_water,0.11131553854184788
temperature,0.0850858539964397
linker_btc,0.08336610224855628
pH,0.08164594803141396
solvent_ethanol,0.06974719790118848
solvent_missing,0.06925956838868588
linker_bdc,0.06814173805022566
